Date,Shallot,Garlic,Rice,Chili pepper,Cayenne pepper,Broiler meat,Topside beef,Granulated sugar,Cooking oil,Chicken egg
6/8/16,38389,37825,10523,34272,36525,33793,115248,15709,15018,24996
6/9/16,38201,38083,10544,34210,35816,33746,115247,15682,15007,24998
6/10/16,37744,37888,10580,34371,36113,33404,114023,15697,14951,24956
6/11/16,38604,37691,10563,32648,37071,33038,115566,15661,15021,24410
6/12/16,38441,37735,10518,32281,36411,31978,114868,15603,15145,24200
6/13/16,37115,37567,10573,32426,34511,32753,113970,15756,14945,24814
6/14/16,37111,37246,10571,32126,34057,32935,113757,15766,14988,24983
6/15/16,36985,37116,10566,31045,33367,32873,113862,15787,14979,24700
6/16/16,36781,36777,10553,30872,32839,32431,113417,15740,14954,24527
6/17/16,36764,36472,10556,30634,32393,32585,113505,15807,14970,24458
6/18/16,37625,37081,10540,29508,33696,32078,113662,15757,15073,24040
6/19/16,37426,37154,10538,29781,33929,32130,115265,15674,15010,24066
6/20/16,36745,36199,10552,30752,33137,32912,114594,15959,14906,24449
6/21/16,36873,36327,10547,30483,32580,32600,114309,15985,14894,24130
6/22/16,36781,36424,10541,30257,32138,32538,114505,16000,14888,24323
6/23/16,36733,36542,10542,30165,32946,32904,114539,16053,14880,24483
6/24/16,36745,36481,10554,30295,32624,32648,112340,16046,14881,24319
6/25/16,37397,36485,10491,29833,32786,32000,114783,15929,14979,23773
6/26/16,37265,36574,10520,29891,33714,31927,113368,15949,14987,23929
6/27/16,36947,36316,10551,30673,33801,32270,114571,16053,14841,24339
6/28/16,37032,36095,10607,30737,34133,32832,114709,16204,14856,24477
6/29/16,37643,36102,10584,30630,33839,32532,115617,16206,14848,24316
6/30/16,37690,35771,10557,31027,34727,33002,116469,16264,14831,24678
7/1/16,41450,35669,10584,32121,36069,33208,116230,16249,14878,24742
7/2/16,38643,36404,10527,32809,35822,32985,116579,16142,14951,24544
7/3/16,39149,36742,10519,33767,37955,32554,117197,16095,14982,24223
7/4/16,40045,36971,10562,37903,39670,34212,118271,16213,14869,24566
7/5/16,40646,37499,10546,39176,40701,35342,122728,16295,14845,25085
7/6/16,40245,37324,10492,36688,40190,34059,119507,16066,14866,24021
7/7/16,40255,37181,10540,36792,40083,33868,118751,16007,14913,24200
7/8/16,40017,37259,10517,38057,38361,34101,118397,16094,14928,24765
7/9/16,40397,37328,10534,36713,40836,33245,115204,16111,14996,24346
7/10/16,40456,37297,10511,36325,39802,33447,117697,15941,15004,24012
7/11/16,40327,37244,10559,36265,38809,39718,116112,16250,14829,24378
7/12/16,41525,37302,10557,34383,36787,34187,115402,16246,14851,24422
7/13/16,41807,37277,10558,32776,35887,34476,115505,16284,14830,24330
7/14/16,41672,37312,10551,32346,35886,34265,115107,16286,14836,24330
7/15/16,42100,37595,10500,32362,35664,33802,113826,16285,14828,24011
7/16/16,42493,36860,10453,31719,37233,33900,115309,16151,14885,23913
7/17/16,42235,36926,10488,31813,36339,33404,115265,16110,14916,23681
7/18/16,42998,37486,10502,31813,38136,33851,114960,16187,14814,24239
7/19/16,42417,37458,10516,31851,38758,33528,114566,16159,14800,24499
7/20/16,42701,37249,10529,30916,38929,33644,114613,16148,14811,24465
7/21/16,42941,37377,10531,30834,39422,33630,114597,16150,14806,24485
7/22/16,43138,37471,10531,32238,40067,33488,114887,16167,14817,24508
7/23/16,42983,36998,10463,32328,40848,32843,115017,16075,14888,23652
7/24/16,42485,37029,10487,32508,40107,32485,114907,16056,14888,23718
7/25/16,43908,37783,10528,33346,40505,32922,114092,16158,14844,24141
7/26/16,44172,38032,10533,33125,41581,33490,114266,16148,14850,24396
7/27/16,43946,37864,10541,32816,40891,33468,113324,16159,14840,24149
7/28/16,44644,38043,10543,33387,41177,33675,113875,16136,14840,24260
7/29/16,44548,37692,10483,34104,41506,33510,113942,16153,14834,24323
7/30/16,45076,38341,10537,33333,42997,33506,114959,15972,14909,24175
7/31/16,44846,38676,10525,33828,42107,32762,114532,15897,14909,24112
8/1/16,44066,37175,10539,33924,41884,33098,113900,16099,14799,24565
8/2/16,44017,37244,10510,33426,42929,33096,114034,16074,14801,24410
8/3/16,43553,37115,10501,33314,42355,32927,113531,16109,14876,25001
8/4/16,43493,36954,10503,33676,42454,32859,114020,16063,14810,24890
8/5/16,42995,36834,10505,33456,42449,32876,114080,16023,14792,24538
8/6/16,43853,37147,10485,33404,43539,32574,114993,15892,14924,24113
8/7/16,43574,36971,10536,33313,44286,32721,114540,15909,14948,23868
8/8/16,42978,36554,10511,34218,43054,32830,113765,15998,14739,24282
8/9/16,42463,36290,10531,34048,43626,32770,113796,15903,14769,24412
8/10/16,42114,36269,10511,34405,44135,32874,113859,15872,14762,24322
8/11/16,41582,36380,10485,34225,43903,33088,113921,15898,14756,24427
8/12/16,41057,36090,10493,33757,43226,32589,114029,15867,14761,24374
8/13/16,42125,36338,10479,33133,43098,32844,114393,15912,14870,23762
8/14/16,41574,36088,10533,33609,43152,32609,114246,15904,14955,23694
8/15/16,40540,35678,10532,33373,44255,33413,113394,15636,14804,24148
8/16/16,40082,35725,10546,33376,44889,33448,113201,15510,14791,24225
8/17/16,39897,36191,10522,32797,43343,33089,113407,15551,14748,23609
8/18/16,40010,35628,10534,34285,43490,33701,113524,15560,14801,24106
8/19/16,39867,35434,10533,34686,44039,33633,114013,15473,14777,24306
8/20/16,40410,35744,10545,33922,44368,33495,114292,15540,14841,23615
8/21/16,40235,36015,10483,33875,44000,33223,114231,15551,14916,23651
8/22/16,39634,35438,10560,34314,44356,33367,113397,15339,14799,24166
8/23/16,39412,35503,10559,34291,44380,33485,113334,15355,14799,23950
8/24/16,39188,35317,10559,34227,42955,33171,113575,15296,14841,24010
8/25/16,38934,35500,10549,33955,40945,32840,113051,15321,14839,23669
8/26/16,39279,35318,10561,34735,41784,32737,113578,15236,14828,23528
